"DY1","DY2","DY3","DY4","Date","month","Year"
0.0500000000000043,-0.334100000000007,-0.246000000000002,0.737699999999997,1999-01-04,1,"1999"
-0.0500000000000043,-0.123800000000003,-0.313600000000001,-0.485099999999996,1999-01-05,1,"1999"
0.0100000000000051,-0.0147999999999939,-0.412799999999997,0.3093,1999-01-06,1,"1999"
0,-0.266000000000005,0.2117,0.047699999999999,1999-01-07,1,"1999"
0,-0.331999999999994,-0.480000000000004,0.304099999999998,1999-01-08,1,"1999"
-0.0200000000000031,-0.453800000000001,-0.451699999999995,-0.227699999999999,1999-01-11,1,"1999"
0,0.216499999999996,0.393599999999999,-0.257300000000001,1999-01-12,1,"1999"
0.0200000000000031,0.633200000000002,0.314099999999996,-0.317700000000002,1999-01-13,1,"1999"
-0.0500000000000043,0.320899999999995,0.300800000000002,0.146000000000001,1999-01-14,1,"1999"
0.0300000000000011,-0.168199999999999,-0.493600000000001,-0.394399999999997,1999-01-15,1,"1999"
0,-0.147799999999989,-0.143099999999997,-0.258800000000001,1999-01-18,1,"1999"
0.00999999999999801,-0.0344000000000051,0.0386999999999986,0.487099999999998,1999-01-19,1,"1999"
0,0.167400000000001,0.128700000000002,-0.207900000000002,1999-01-21,1,"1999"
0,0.153199999999998,-0.0438000000000045,-0.210499999999996,1999-01-22,1,"1999"
-0.019999999999996,0.0198999999999927,-0.296999999999997,0.252099999999999,1999-01-25,1,"1999"
0.00999999999999801,-0.433699999999988,-0.312400000000004,-0.630200000000002,1999-01-27,1,"1999"
0,0.0244999999999891,-0.151199999999996,-0.142599999999995,1999-01-28,1,"1999"
0,-0.117399999999989,-0.290300000000002,0.126399999999997,1999-01-29,1,"1999"
0,-0.0293000000000063,-0.0929000000000002,0.658499999999997,1999-02-01,2,"1999"
-0.0200000000000031,-0.383499999999998,0.0371000000000024,0.393000000000001,1999-02-02,2,"1999"
-0.019999999999996,0.0627999999999957,-0.141200000000005,-0.464299999999994,1999-02-03,2,"1999"
0.00999999999999801,0.286500000000004,0.180700000000002,0.620699999999999,1999-02-04,2,"1999"
0,-0.431200000000004,-0.467500000000001,-0.539500000000004,1999-02-05,2,"1999"
-0.0300000000000011,0.188299999999998,0.333000000000006,-0.302700000000002,1999-02-08,2,"1999"
0,-0.241299999999995,-0.140700000000002,-0.292999999999999,1999-02-09,2,"1999"
0.0200000000000031,-0.272999999999996,0.140700000000002,0.359200000000001,1999-02-10,2,"1999"
-0.00999999999999801,-0.190300000000008,-0.380900000000004,-0.0510999999999981,1999-02-11,2,"1999"
-0.0300000000000011,0.372100000000003,0.152999999999999,-0.00560000000000116,1999-02-12,2,"1999"
0.0700000000000003,-0.138800000000003,-0.236999999999995,-0.7455,1999-02-15,2,"1999"
0,0.466400000000007,0.1023,-0.384999999999998,1999-02-16,2,"1999"
-0.0399999999999991,-0.0870000000000033,0.1004,-0.185600000000001,1999-02-17,2,"1999"
-0.0100000000000051,-0.0626999999999924,-0.295500000000004,-0.426200000000001,1999-02-18,2,"1999"
-0.0399999999999991,-0.654200000000003,-0.753700000000002,-0.641599999999997,1999-02-19,2,"1999"
0.0399999999999991,0.165899999999993,0.0197000000000003,0.524000000000001,1999-02-22,2,"1999"
0.0500000000000043,-0.467299999999994,-0.0634999999999977,-0.262400000000007,1999-02-23,2,"1999"
0.019999999999996,-0.363799999999998,0.0262999999999991,0.638900000000007,1999-02-24,2,"1999"
0.0399999999999991,0.575400000000002,-0.2761,-0.514300000000006,1999-03-01,3,"1999"
-0.019999999999996,-0.113000000000014,-0.219299999999997,-0.342299999999994,1999-03-03,3,"1999"
0,-0.131399999999999,-0.206700000000005,-0.147300000000001,1999-03-04,3,"1999"
-0.0300000000000011,-0.3078,-0.0148999999999972,0.2455,1999-03-05,3,"1999"
-0.0300000000000011,0.298400000000001,0.279400000000003,0.157899999999998,1999-03-08,3,"1999"
-0.0300000000000011,0.178400000000011,-0.104900000000001,-0.0275999999999996,1999-03-09,3,"1999"
0.0100000000000051,0.431100000000001,0.307499999999997,0.430700000000002,1999-03-10,3,"1999"
-0.0200000000000031,0.263199999999998,0.210900000000002,-0.025500000000001,1999-03-11,3,"1999"
-0.00999999999999801,-0.248900000000006,-0.4542,0.432600000000001,1999-03-12,3,"1999"
-0.0100000000000051,-0.3322,-0.293700000000001,0.191200000000002,1999-03-15,3,"1999"
0.0100000000000051,0.337000000000003,0.569499999999998,-0.312900000000006,1999-03-16,3,"1999"
-0.0200000000000031,0.0285999999999973,0.00650000000000261,0.418500000000002,1999-03-17,3,"1999"
-0.00999999999999801,-0.157200000000003,-0.503999999999998,-0.0886999999999958,1999-03-19,3,"1999"
0,0.0666000000000082,0.163899999999998,-0.271000000000001,1999-03-22,3,"1999"
0.00999999999999801,0.387799999999999,0.0557000000000016,0.262699999999995,1999-03-23,3,"1999"
0,-0.430599999999998,-0.242900000000006,-0.3446,1999-03-24,3,"1999"
0.0300000000000011,-0.350099999999998,-0.463699999999996,-0.380699999999997,1999-03-26,3,"1999"
0,-0.253200000000007,-0.0518000000000001,0.00150000000000006,1999-03-30,3,"1999"
0.00999999999999801,-0.265299999999996,0.1496,-0.363399999999999,1999-03-31,3,"1999"
0.0700000000000003,-0.0741000000000014,-0.0645000000000024,0.126399999999997,1999-04-05,4,"1999"
0.130000000000003,-0.179900000000004,0.494,0.172600000000003,1999-04-06,4,"1999"
0.0300000000000011,0.463300000000004,-0.0296999999999983,0.0516000000000005,1999-04-07,4,"1999"
0.00999999999999801,0.304500000000004,-0.173400000000001,0.00499999999999545,1999-04-08,4,"1999"
